
Óbitos p/Residênc por Região/Unidade da Federação e Ano do Óbito
Período:1990-1995
"Região/Unidade da Federação";"1990";"1991";"1992";"1993";"1994";"1995";"Total"
"Região Norte";36826;35135;35098;37726;38848;39243;222876
".. Rondônia";5566;4878;4320;4813;4768;5314;29659
".. Acre";1530;1938;2066;2145;2290;2184;12153
".. Amazonas";8013;6836;7167;7763;8403;8473;46655
".. Roraima";855;818;769;783;935;967;5127
".. Pará";18482;17072;16946;17945;18170;17516;106131
".. Amapá";961;1117;1083;1235;1474;1512;7382
".. Tocantins";1419;2476;2747;3042;2808;3277;15769
"Região Nordeste";192311;193161;196877;208546;206150;204936;1201981
".. Maranhão";13586;13337;13606;13867;12382;12537;79315
".. Piauí";7583;6158;7853;8518;8228;7667;46007
".. Ceará";22106;22947;22926;27594;29209;28385;153167
".. Rio Grande do Norte";8477;10210;10430;11939;11555;12774;65385
".. Paraíba";18525;17919;17101;19363;18430;18634;109972
".. Pernambuco";51406;49764;48883;51460;49578;47342;298433
".. Alagoas";15025;14266;14382;14631;14016;14551;86871
".. Sergipe";7230;8136;9436;8537;8516;9808;51663
".. Bahia";48373;50424;52260;52637;54236;53238;311168
"Região Sudeste";419254;408096;419642;445146;452833;456256;2601227
".. Minas Gerais";90424;89401;94543;98133;97463;95980;565944
".. Espírito Santo";14432;14700;14768;16279;15998;15747;91924
".. Rio de Janeiro";107932;105436;106644;114059;116942;116692;667705
".. São Paulo";206466;198559;203687;216675;222430;227837;1275654
"Região Sul";131562;126880;132576;141158;141219;142868;816263
".. Paraná";49207;46567;48738;51499;52335;51347;299693
".. Santa Catarina";23548;22289;23522;25155;25209;26482;146205
".. Rio Grande do Sul";58807;58024;60316;64504;63675;65039;370365
"Região Centro-Oeste";37331;40564;43459;45530;48544;50574;266002
".. Mato Grosso do Sul";8792;8631;9250;9630;10498;10767;57568
".. Mato Grosso";6479;7151;7385;7715;7993;8977;45700
".. Goiás";15351;17917;19877;20535;21972;22714;118366
".. Distrito Federal";6709;6865;6947;7650;8081;8116;44368
"Total";817284;803836;827652;878106;887594;893877;5108349
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
