 Mortalidade - Brasil
Óbitos p/Residênc por Capítulo CID-10 e Ano do Óbito
Período:1996-2021
"Capítulo CID-10";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"I.   Algumas doenças infecciosas e parasitárias";52511;47936;48792;46496;44515;45032;45175;46533;46067;46628;46508;45945;47295;47010;48823;49175;49608;52058;52174;55022;57188;54874;54679;56666;267287;486667;1940664
"II.  Neoplasias (tumores)";103408;106991;110799;115679;120517;125348;129923;134691;140801;147418;155796;161491;167677;172255;178990;184384;191577;196954;201968;209780;215217;221821;227920;235301;229300;235805;4421811
"III. Doenças sangue órgãos hemat e transt imunitár";3812;3936;4173;4657;4800;5240;5217;5354;4978;4999;5496;5719;5825;6011;6284;6344;6358;6388;6108;6506;6878;6622;6601;7068;6596;7296;149266
"IV.  Doenças endócrinas nutricionais e metabólicas";36590;38083;39841;43132;47281;47800;49222;51190;53134;53983;58904;61860;64631;66984;70276;73929;72495;74726;73972;76235;78075;79662;81365;83485;92749;96818;1666422
"V.   Transtornos mentais e comportamentais";4703;4984;5478;5831;6139;6655;7011;7356;8158;8931;10256;10948;11852;11861;12759;13725;12641;13052;12480;12558;12674;12858;13697;14526;17168;18409;276710
"VI.  Doenças do sistema nervoso";10337;10349;10872;11161;11575;12296;12857;13750;15156;16384;19166;20413;21609;23018;25303;26948;28712;30300;32381;34721;36870;38786;41035;45235;45598;49527;644359
"VII. Doenças do olho e anexos";7;11;21;11;10;12;11;21;21;13;28;26;39;23;31;23;38;15;18;21;20;19;21;23;24;24;531
"VIII.Doenças do ouvido e da apófise mastóide";127;101;117;127;133;129;115;120;119;112;145;118;125;125;125;150;139;143;157;147;173;179;169;206;164;156;3621
"IX.  Doenças do aparelho circulatório";249613;249638;256511;257179;260603;263417;267496;274068;285543;283927;302817;308466;317797;320074;326371;335213;333295;339672;340284;349642;362091;358882;357770;364132;357741;382507;8104749
"X.   Doenças do aparelho respiratório";88436;84083;91983;89084;88370;90288;94754;97656;102168;97397;102866;104498;104989;114539;119114;126693;127204;137832;139045;149541;158041;155620;155191;162005;148773;142468;3072638
"XI.  Doenças do aparelho digestivo";39035;39843;40739;41922;43029;44393;45797;46894;48661;50097;51924;53724;55272;56202;58061;59707;60509;61934;62763;64202;66044;66052;67316;68770;66667;72317;1431874
"XII. Doenças da pele e do tecido subcutâneo";1301;1361;1447;1450;1652;1825;1932;1977;1886;2014;2466;2475;2642;2979;3225;3395;3722;3919;4300;4970;5874;6100;6273;7152;6796;8169;91302
"XIII.Doenças sist osteomuscular e tec conjuntivo";2125;2087;2076;2321;2478;2606;2885;3001;3002;3084;3597;3789;4094;4216;4541;4488;4607;5001;5325;5385;5787;5912;6153;6506;6128;6170;107364
"XIV. Doenças do aparelho geniturinário";12792;12635;12878;12863;13370;14350;15167;15858;17094;18365;17421;18301;19790;22489;24519;26317;27975;29709;32510;36549;39367;40470;43428;47566;44860;50858;667501
"XV.  Gravidez parto e puerpério";1465;1794;1997;1825;1646;1587;1650;1597;1672;1661;1637;1615;1691;1884;1728;1680;1647;1787;1889;1896;1814;1874;1862;1726;2147;3408;47179
"XVI. Algumas afec originadas no período perinatal";37299;37684;36221;36905;36618;34274;33136;32040;31011;29799;28336;26898;26080;25367;23723;23579;23069;22745;22482;22162;21049;21458;20764;20354;18770;18602;710425
"XVII.Malf cong deformid e anomalias cromossômicas";9127;9525;9331;9468;9804;9520;9733;10143;10210;9927;10397;10262;10502;10360;10196;10543;10622;10752;11050;10989;10882;10995;11156;11308;9673;9992;266467
"XVIII.Sint sinais e achad anorm ex clín e laborat";137039;132925;140929;141653;135749;135766;134176;133434;126922;104455;85543;80244;79161;78994;79622;78363;74935;71804;71191;71713;75869;71822;70505;74972;90345;94134;2572265
"XX.  Causas externas de morbidade e mortalidade";119156;119550;117690;116894;118397;120954;126550;126657;127470;127633;128388;131032;135936;138697;143256;145842;152013;151683;156942;152136;155861;158657;150814;142800;146038;149322;3560368
"Total";908883;903516;931895;938658;946686;961492;982807;1002340;1024073;1006827;1031691;1047824;1077007;1103088;1136947;1170498;1181166;1210474;1227039;1264175;1309774;1312663;1316719;1349801;1556824;1832649;29735516
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
