 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Ano do Óbito
Período:1996-2021
"Região/Unidade da Federação";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"Região Norte";38393;40174;43551;45485;47561;50670;50330;52787;54274;54857;55872;56731;60967;62993;65425;67789;70666;71595;74518;77944;80105;82983;84409;85686;109014;121354;1706133
".. Rondônia";4606;4834;5497;5409;5602;6015;6028;6319;6319;6252;6072;5565;6289;6837;7225;7014;7602;7500;7655;7948;8344;8219;8165;8338;10278;14042;183974
".. Acre";2263;2272;2391;2122;2565;2494;2486;2534;2676;2811;2759;2799;2858;2892;3009;3157;3293;3318;3476;3517;3763;3832;4094;4098;4860;5496;81835
".. Amazonas";8009;8285;8745;9535;10464;10504;10623;10594;10896;11132;11594;11757;12715;12992;13300;14227;14847;15129;15879;16675;16799;17281;17710;18327;24765;29080;361864
".. Roraima";1029;926;1095;1266;1329;1200;1252;1351;1408;1440;1509;1494;1481;1536;1640;1599;1783;1947;1954;2091;2157;2461;2787;2779;3580;4306;47400
".. Pará";17165;18467;20183;21190;21542;23699;23139;25124;25886;26402;27015;27626;29633;30512;31600;32638;33898;34150;35575;37365;38557;39980;40513;40599;51643;52166;806267
".. Amapá";1593;1657;1536;1700;1686;1961;1982;1895;1949;1765;1803;1886;2113;2140;2172;2495;2601;2680;2852;2946;2995;3158;3345;3524;4617;4750;63801
".. Tocantins";3728;3733;4104;4263;4373;4797;4820;4970;5140;5055;5120;5604;5878;6084;6479;6659;6642;6871;7127;7402;7490;8052;7795;8021;9271;11514;160992
"Região Nordeste";204024;206612;219395;221640;228410;238256;248980;253019;256614;254544;256139;262193;273873;280476;284635;301596;305746;316415;319748;337713;347095;352045;343969;352801;415919;443872;7525729
".. Maranhão";12031;13462;15228;14403;16041;19792;21490;22524;22823;23931;22643;23821;25407;25734;26091;28970;28838;30919;32101;33666;34362;35275;34525;35128;43271;44654;687130
".. Piauí";6785;7743;8378;8672;11623;12505;13085;13883;13603;14253;14484;14884;15489;15573;15614;17052;17449;17985;18565;19366;19187;19850;19983;20528;23646;26212;406397
