 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação
Período:1996-2021
"Região/Unidade da Federação";"Óbitos_p/Residênc"
"Região Norte";1706133
".. Rondônia";183974
".. Acre";81835
".. Amazonas";361864
".. Roraima";47400
".. Pará";806267
".. Amapá";63801
".. Tocantins";160992
"Região Nordeste";7525729
".. Maranhão";687130
".. Piauí";406397
".. Ceará";1195745
".. Rio Grande do Norte";440179
".. Paraíba";600149
".. Pernambuco";1493332
".. Alagoas";459543
".. Sergipe";292335
".. Bahia";1950919
"Região Sudeste";13970998
".. Minas Gerais";3099287
".. Espírito Santo";543372
".. Rio de Janeiro";3334866
".. São Paulo";6993473
"Região Sul";4653227
".. Paraná";1717983
".. Santa Catarina";901192
".. Rio Grande do Sul";2034052
"Região Centro-Oeste";1879429
".. Mato Grosso do Sul";367533
".. Mato Grosso";385834
".. Goiás";844199
".. Distrito Federal";281863
"Total";29735516
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
